Group,Extract,Maintain,Context,Retain,Engage,Enjoy,Video
Faculty,.,.,.,.,.,.,PP
Faculty,5,4,4,4,4,4,PP
Faculty,5,5,5,5,4,3,PP
Faculty,4,3,3,3,3,3,PP
Faculty,2,2,1,2,3,2,PP
Faculty,3,3,3,4,3,3,PP
Faculty,4,5,5,3,3,3,PP
Faculty,.,.,.,.,.,.,PP
Faculty,.,.,.,.,.,.,PP
Faculty,3,3,3,3,3,3,PP
Faculty,4,3,3,3,3,3,PP
Faculty,3,3,3,3,3,3,PP
Faculty,3,3,2,3,1,2,PP
Faculty,4,3,4,3,4,2,PP
Faculty,3,3,3,3,3,3,PP
Faculty,.,.,.,.,.,.,PP
Faculty,4,4,4,4,3,3,PP
Faculty,.,.,.,.,.,.,PP
Faculty,3,3,3,3,3,3,PP
Faculty,3,3,3,3,3,3,PP
Faculty,3,1,2,2,2,2,PP
Faculty,4,5,4,3,2,3,PP
Faculty,4,4,4,4,3,3,PP
Faculty,3,3,3,3,2,2,PP
Faculty,3,3,3,4,3,2,PP
Faculty,4,3,4,3,3,2,PP
Faculty,4,4,2,4,2,2,PP
Faculty,3,3,3,3,3,3,PP
Faculty,1,1,1,1,1,1,PP
Faculty,3,4,3,3,2,2,PP
Faculty,2,2,2,2,2,2,PP
Faculty,4,4,4,4,4,4,PP
Faculty,1,1,1,1,1,1,PP
Faculty,3,3,4,3,3,3,PP
Faculty,4,4,4,4,4,4,PP
Faculty,1,2,3,4,1,2,PP
Faculty,3,4,3,3,2,4,PP
Faculty,.,.,.,.,.,.,PP
Faculty,.,.,.,.,.,.,PP
Faculty,3,3,3,3,3,3,PP
Faculty,3,3,3,3,3,3,PP
Faculty,1,1,2,2,2,2,PP
Faculty,.,.,.,.,.,.,PP
Faculty,.,.,.,.,.,.,PP
Faculty,2,2,2,2,2,2,PP
Faculty,4,4,4,4,3,2,PP
Faculty,4,3,2,3,4,3,PP
Student,3,3,3,3,3,3,PP
Student,.,.,.,.,.,.,PP
Student,4,3,4,3,3,3,PP
Student,1,2,1,1,1,1,PP
Student,4,.,.,.,.,.,PP
Student,.,.,.,.,.,.,PP
Student,3,4,3,3,5,4,PP
Student,4,2,4,4,4,3,PP
Student,2,1,2,1,1,1,PP
Student,4,4,4,3,3,3,PP
Student,4,4,4,3,3,3,PP
Student,.,.,.,.,.,.,PP
Student,3,3,3,4,3,4,PP
Student,2,2,3,3,2,2,PP
Student,4,2,2,3,2,3,PP
Student,3,3,3,3,3,3,PP
Student,3,2,2,3,2,3,PP
Student,2,2,3,3,3,3,PP
Student,1,1,1,1,1,1,PP
Student,2,1,1,2,1,1,PP
Student,4,4,4,5,2,2,PP
Student,4,4,3,3,3,3,PP
Student,5,4,5,5,5,5,PP
Student,4,3,4,3,3,3,PP
Student,4,4,3,4,3,3,PP
Student,4,4,3,2,2,2,PP
Student,5,5,4,3,2,5,PP
Student,3,3,3,3,3,3,PP
Student,3,3,3,3,3,3,PP
Student,4,4,4,4,4,4,PP
Student,5,2,3,3,3,3,PP
Student,4,3,4,3,3,3,PP
Student,4,4,4,3,3,3,PP
Student,3,3,3,3,3,1,PP
Student,5,5,5,5,5,5,PP
Student,4,4,4,4,4,4,PP
Student,3,4,3,4,4,3,PP
Student,1,1,1,1,1,1,PP
Student,3,3,3,3,2,4,PP
Student,5,4,5,5,5,4,PP
Student,5,3,4,3,2,2,PP
Student,2,1,3,2,3,2,PP
Student,5,3,4,4,3,3,PP
Student,2,2,2,2,2,2,PP
Student,2,1,2,2,1,1,PP
Student,2,1,3,2,1,2,PP
Student,4,4,3,3,3,3,PP
Student,3,3,3,3,3,3,PP
Student,.,.,.,.,.,.,PP
Student,4,4,5,4,4,4,PP
Student,4,4,4,4,4,3,PP
Student,3,2,3,3,2,3,PP
Student,4,3,3,4,4,3,PP
Student,.,.,.,.,.,.,PP
Student,4,3,3,2,2,3,PP
Student,3,2,3,3,3,3,PP
Student,2,2,3,2,3,3,PP
Student,1,1,1,1,1,1,PP
Student,3,3,3,3,3,3,PP
Student,3,3,3,3,3,3,PP
Student,3,3,3,3,3,3,PP
Student,1,2,2,2,2,3,PP
Student,5,4,4,4,3,4,PP
Student,.,.,.,.,.,.,PP
Student,3,4,4,4,4,4,PP
Student,3,3,3,2,3,4,PP
Student,3,3,3,3,3,3,PP
Student,5,2,3,4,2,2,PP
Student,3,3,3,3,2,3,PP
Student,2,2,3,2,2,4,PP
Student,4,5,4,4,4,3,PP
Student,2,2,2,2,2,2,PP
Student,5,4,4,3,4,4,PP
Student,4,4,3,3,4,3,PP
Student,3,3,3,3,3,3,PP
Student,2,2,1,1,3,3,PP
Student,1,1,1,1,1,1,PP
Student,2,1,3,4,5,4,PP
Student,4,4,3,3,3,3,PP
Student,3,2,2,3,3,3,PP
Student,.,.,.,.,.,.,PP
Student,4,4,5,5,5,3,PP
Student,4,4,3,2,1,1,PP
Student,2,1,2,1,2,2,PP
Student,2,1,1,1,1,1,PP
Student,4,4,4,4,4,4,PP
Student,3,4,4,4,4,4,PP
Student,4,4,3,4,4,4,PP
Student,5,4,5,4,3,3,PP
Student,.,.,.,.,.,.,PP
Student,3,4,3,3,3,4,PP
Student,2,2,2,2,2,2,PP
Student,3,2,3,3,3,3,PP
Student,3,3,3,2,2,2,PP
Student,2,2,2,2,2,2,PP
Student,3,3,3,3,4,2,PP
Student,2,2,2,2,2,2,PP
Student,3,3,3,3,3,3,PP
Student,2,1,2,2,2,3,PP
Student,3,3,3,2,2,2,PP
Student,4,4,4,4,4,4,PP
Student,3,3,3,3,2,3,PP
Student,4,4,4,4,3,3,PP
Student,3,4,2,3,4,3,PP
Student,3,4,4,3,4,3,PP
Student,1,1,1,1,1,1,PP
Student,4,3,3,4,4,4,PP
Student,2,2,3,3,3,3,PP
Student,2,1,3,2,1,3,PP
Student,3,2,3,3,4,3,PP
Student,1,1,1,1,1,1,PP
Student,5,4,4,3,5,4,PP
Student,2,2,2,2,2,2,PP
Student,4,4,5,4,4,3,PP
Student,4,5,4,3,4,4,PP
Student,4,3,3,3,3,4,PP
Student,2,2,3,3,3,3,PP
Student,2,2,2,1,2,2,PP
Student,3,2,3,3,2,2,PP
Student,3,3,3,3,3,3,PP
Student,2,2,3,3,3,3,PP
Student,5,4,4,3,4,3,PP
Student,4,2,3,3,2,4,PP
Student,4,2,3,3,2,2,PP
Student,2,2,3,3,2,2,PP
Student,3,2,3,3,2,2,PP
Student,4,3,3,4,3,4,PP
Student,4,5,4,3,3,3,PP
Student,4,2,3,4,4,4,PP
Student,3,3,3,3,3,3,PP
Student,3,3,3,3,3,3,PP
Student,2,1,2,1,1,1,PP
Student,2,2,3,3,3,3,PP
Student,2,2,3,2,1,1,PP
Student,3,2,3,3,2,3,PP
Student,4,3,3,3,3,3,PP
Student,.,.,.,.,.,.,PP
Student,5,5,5,5,5,5,PP
Student,3,3,4,3,4,3,PP
Student,5,4,3,4,1,2,PP
Student,4,3,4,4,4,4,PP
Student,4,4,4,4,2,2,PP
Student,4,2,4,3,4,3,PP
Student,3,1,3,3,1,1,PP
Student,4,4,4,3,3,3,PP
Student,5,5,5,5,3,3,PP
Student,4,4,4,4,5,3,PP
Student,4,4,3,3,4,3,PP
Student,3,3,3,3,3,3,PP
Student,2,3,2,2,2,2,PP
Student,3,2,3,3,4,3,PP
Student,5,4,4,3,3,3,PP
Student,4,4,4,4,4,4,PP
Student,5,5,5,5,5,5,PP
Student,1,2,2,2,1,1,PP
Student,2,1,3,2,1,2,PP
Student,3,3,4,3,3,4,PP
Student,2,1,2,2,1,2,PP
Student,3,3,3,3,2,3,PP
Student,4,3,3,3,4,3,PP
Student,5,4,4,5,4,4,PP
Student,4,3,4,3,3,3,PP
Student,4,4,4,5,5,4,PP
Student,2,1,2,2,2,1,PP
Student,4,4,4,4,4,4,PP
Student,4,4,4,4,4,4,PP
Student,3,2,3,2,3,4,PP
Student,3,2,3,3,2,3,PP
Student,5,5,5,5,5,5,PP
Student,2,2,3,2,2,2,PP
Student,3,3,2,4,3,3,PP
Student,4,4,4,4,4,3,PP
Student,3,3,3,3,3,2,PP
Student,4,4,4,4,5,5,PP
Student,4,4,4,4,4,4,PP
Student,.,.,.,.,.,.,PP
Student,4,2,4,4,4,4,PP
Student,4,4,3,3,3,3,PP
Student,5,4,5,5,4,3,PP
Student,5,5,5,5,5,5,PP
Student,5,4,5,4,5,4,PP
Student,3,4,3,3,4,3,PP
Student,3,3,4,4,3,3,PP
Student,3,3,3,3,3,3,PP
Student,.,.,.,.,.,.,PP
Student,4,3,4,4,3,4,PP
Student,3,1,2,2,1,1,PP
Student,4,2,4,4,1,1,PP
Student,3,4,4,3,3,4,PP
Student,4,5,4,4,3,4,PP
Student,3,3,3,3,2,3,PP
Student,2,1,2,1,1,1,PP
Student,.,.,.,.,.,.,PP
Student,4,4,4,4,4,4,PP
Student,3,2,2,2,2,3,PP
Student,.,.,.,.,.,.,PP
Student,2,2,2,2,1,3,PP
Student,2,3,3,2,4,4,PP
Student,5,5,5,5,5,5,PP
Student,5,4,4,4,4,4,PP
Student,5,3,5,4,4,3,PP
Student,4,4,4,4,4,4,PP
Student,5,4,5,4,5,5,PP
Student,4,4,3,3,3,3,PP
Student,4,3,4,4,3,3,PP
Student,5,5,5,5,5,5,PP
Student,5,5,4,4,3,3,PP
Student,3,3,3,2,2,2,PP
Student,4,4,5,4,2,3,PP
Student,3,2,3,3,2,3,PP
Student,4,3,4,3,3,2,PP
Student,4,3,4,4,4,3,PP
Student,1,1,1,2,2,4,PP
Student,4,4,4,4,4,4,PP
Student,5,4,5,5,4,4,PP
Student,3,3,3,3,3,3,PP
Student,5,2,3,3,3,3,PP
Student,3,3,4,3,4,4,PP
Student,5,4,4,5,5,4,PP
Student,3,3,4,3,2,4,PP
